,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
45,46,0.1924,158.237920997921,1020.7527650727651,0.6979521664716881,0.3624099047790707,1.2681060460651001,1.8674398256692886,197.0,197.0,197.0,110.59950103950104,110.59950103950104,110.59950103950104,47.0,47.0,47.0
46,47,0.217632,92.0452874577268,702.9875753565652,0.6299679925319425,0.44874973462692014,-1.0848746100734579,1.865096679918781,182.0,182.0,182.0,112.87222467284222,112.87222467284222,112.87222467284222,40.0,40.0,40.0
47,48,0.39022399999999996,59.79970478494403,540.9187748575177,0.9380501184813348,0.536355885269602,-1.5478396000587553,2.4961261171703035,202.0,202.0,202.0,120.86198696133503,120.86198696133503,120.86198696133503,47.0,47.0,47.0
48,49,0.129792,113.26972386587771,131.045241617357,0.4918541369527355,0.34217416694263547,0.44271887083702305,1.4301849916733496,192.0,192.0,192.0,115.8349358974359,115.8349358974359,115.8349358974359,52.0,52.0,52.0
49,50,0.12089599999999999,389.62969825304395,340.54777660137637,0.44657288044498716,0.3559473144503159,1.0057448118795325,1.3778031739553294,177.0,177.0,177.0,106.62043409211223,106.62043409211223,106.62043409211223,45.0,45.0,45.0
50,51,0.139104,732.628479411088,548.0814354727398,0.4930237840765742,0.37008489104143705,0.9881118424397514,1.4701849916733496,177.0,177.0,177.0,106.34483551874857,106.34483551874857,106.34483551874857,40.0,40.0,40.0
51,52,0.1392,228.16827586206895,929.1394252873563,0.5166928647918783,0.35060217289557943,-0.11739058309700445,1.4741362184380706,180.0,180.0,180.0,106.12402298850574,106.12402298850574,106.12402298850574,42.0,42.0,42.0
52,53,0.296272,172.4198844305233,798.6914727007614,0.921347119423113,0.41714685043895094,-1.3365924347032838,2.334116015902537,180.0,180.0,180.0,109.58124966247232,109.58124966247232,109.58124966247232,40.0,40.0,40.0
53,54,0.250096,260.65510843835966,455.15942678011646,0.6893831247703044,0.4854830100332028,0.8335186108271261,2.0828712831743648,167.0,167.0,167.0,100.72541743970315,100.72541743970315,100.72541743970315,37.0,37.0,37.0
54,55,0.08408,155.26831588962892,573.7311132254995,0.39272031552390063,0.27634829438810343,1.4609845140089741,1.1235777772109135,167.0,167.0,167.0,98.00247383444339,98.00247383444339,98.00247383444339,37.0,37.0,37.0
